"test_ligand","auroc","aupr","aupr_corrected","pearson","rank"
"MFGE8",0.535591508963391,0.124550849963804,0.0339291429037404,0.0527570205891514,104
"SEMA4A",0.5403839268872,0.124452574430415,0.0338308673703519,0.0527891251628372,105
"TIMP2",0.534933904036702,0.124265389924212,0.0336436828641486,0.0648657490159981,106
"COL4A2",0.555643165940822,0.124239259109126,0.0336175520490627,0.0590796274601141,107
"CD9",0.545447058610019,0.124164573755857,0.0335428666957942,0.0348976441433468,108
"PECAM1",0.547290222241043,0.124152932766246,0.0335312257061826,0.0548385574242691,109
"ADAM10",0.550507165597651,0.124142556181725,0.0335208491216622,0.06031286927568,110
"COL1A1",0.545157783936017,0.123918664027498,0.0332969569674347,0.053304165408278,111
"DCN",0.537803827774879,0.123910423165693,0.0332887161056298,0.0495925898042316,112
"LGALS1",0.553139372647925,0.123863883485336,0.0332421764252727,0.0386684902706932,113
"TCN2",0.563019945103807,0.123728039684505,0.0331063326244414,0.0769558680050771,114
"COL1A2",0.54532125712394,0.123687299900326,0.0330655928402625,0.059438356328893,115
"F13A1",0.537508503630507,0.123664288728611,0.0330425816685475,0.0599682788165913,116
"SDC2",0.538422661096021,0.123271657437558,0.0326499503774943,0.0618610991551155,117
"COL5A2",0.550117799686637,0.123158058117846,0.0325363510577823,0.0539031094439711,118
"S100A12",0.535208192522745,0.123141560426863,0.0325198533667996,0.0698509734276995,119
"ADAM15",0.53034235602673,0.123126524219414,0.0325048171593508,0.0530290931338416,120
"IGF1",0.549677838205265,0.12284947497363,0.0322277679135671,0.0740608179427956,121
"SIGLEC1",0.54209730188122,0.122839269594216,0.0322175625341531,0.0620960214889727,122
"COPA",0.55193924021952,0.122811870526497,0.0321901634664336,0.0454656454860602,123
"SERPINE1",0.539296534588398,0.12279756280469,0.0321758557446268,0.0540780323344155,124
"TIMP3",0.536799065741794,0.12271861263992,0.0320969055798568,0.0585157164350397,125
"CALR",0.560300158221148,0.122342975290981,0.0317212682309174,0.028379431782629,126
"GRN",0.542218153800635,0.122301871066592,0.0316801640065292,0.0264522991309828,127
"PSEN1",0.559238476171411,0.122283909912581,0.0316622028525182,0.0465912856111768,128
"MMP2",0.535116488051472,0.122232928121391,0.0316112210613278,0.0557050958899193,129
"SPON1",0.530086765903645,0.122129264562455,0.0315075575023918,0.048318491058677,130
"ENG",0.545346004957266,0.121955120707805,0.0313334136477416,0.0576036868451412,131
"HLA-DRB1",0.532180845067015,0.121515341659183,0.0308936345991195,0.0521993085455772,132
"RARRES2",0.535670564542075,0.1212606359519,0.0306389288918364,0.0663006691303132,133
"NID1",0.533088403110308,0.121239945059757,0.0306182379996935,0.0526446701799642,134
"LRPAP1",0.531928142191151,0.120880914973775,0.0302592079137121,0.0542481333430388,135
"EFEMP1",0.543039781867098,0.120731758823487,0.0301100517634239,0.0572916964147988,136
"APP",0.53888310828387,0.120729737594729,0.0301080305346657,0.0406249785987857,137
"LAMC1",0.536203055422498,0.120582313572665,0.0299606065126013,0.0459876066343566,138
"SPARC",0.549773667315427,0.120184260774198,0.0295625537141351,0.0365747932413952,139
"CLEC11A",0.52204427002416,0.120077644753269,0.0294559376932055,0.0533895093863558,140
"COL5A1",0.54940533706274,0.119978095135879,0.0293563880758158,0.0463800393740789,141
"LAMA2",0.554156921061562,0.119917448234835,0.0292957411747718,0.0266643517036718,142
